Index,Version ID,Version Name,Date
1,12313216,3.0.0,27/10/2008
2,12313500,3.0.1,04/12/2008
3,12313381,3.1.0,13/02/2009
4,12313649,3.1.1,27/03/2009
5,12313491,3.2.0,08/07/2009
6,12314068,3.2.1,04/09/2009
7,12314335,3.2.2,14/12/2009
8,12313976,3.3.0,25/03/2010
9,12314846,3.3.1,17/05/2010
10,12315108,3.3.2,11/11/2010
11,12315482,3.3.3,27/02/2011
12,12314469,3.4.0,22/11/2011
13,12316276,3.3.4,26/11/2011
14,12318650,3.4.1,16/12/2011
15,12319196,3.4.2,29/12/2011
16,12319288,3.4.3,13/02/2012
17,12319081,3.3.5,20/03/2012
18,12320172,3.3.6,02/08/2012
19,12319841,3.4.4,23/09/2012
20,12321883,3.4.5,18/11/2012
21,12323310,3.4.6,10/03/2014
22,12316644,3.5.0,04/08/2014
23,12326786,3.5.1,02/09/2015
24,12325149,3.4.7,03/12/2015
25,12326517,3.4.8,22/02/2016
26,12331981,3.5.2,21/07/2016
27,12334700,3.4.9,03/09/2016
28,12338036,3.4.10,30/03/2017
29,12335444,3.5.3,17/04/2017
30,12339207,3.4.11,09/11/2017
31,12342040,3.4.12,01/05/2018
32,12340141,3.5.4,17/05/2018
33,12342973,3.4.13,17/07/2018
34,12343587,3.4.14,02/04/2019
35,12343268,3.5.5,20/05/2019
36,12345243,3.5.6,17/10/2019
37,12346098,3.5.7,14/02/2020
38,12346764,3.6.1,30/04/2020
39,12346950,3.5.8,11/05/2020
40,12347809,3.6.2,09/09/2020
41,12348201,3.5.9,14/01/2021
42,12346617,3.7.0,27/03/2021
